title,abstract,publish_time,journal,authors,year,abstract_word_count,title_word_count
COVID-19 clinical study: 25,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-01-13,MedRxiv,Researcher 25 et al.,2020,12,4
COVID-19 genetics study: 26,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2021-07-26,New England Journal of Medicine,Researcher 26 et al.,2021,12,4
COVID-19 treatment study: 27,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2020-08-25,BioRxiv,Researcher 27 et al.,2020,21,4
COVID-19 mental health study: 28,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-07-13,Journal of Medical Virology,Researcher 28 et al.,2022,14,5
COVID-19 vaccine study: 29,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2022-07-17,Journal of Medical Virology,Researcher 29 et al.,2022,24,4
COVID-19 virology study: 30,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-04-18,BioRxiv,Researcher 30 et al.,2022,12,4
COVID-19 treatment study: 31,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2021-02-04,BioRxiv,Researcher 31 et al.,2021,18,4
COVID-19 diagnostic study: 32,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2021-01-04,Science,Researcher 32 et al.,2021,18,4
COVID-19 treatment study: 33,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2021-05-19,BMJ,Researcher 33 et al.,2021,24,4
COVID-19 mental health study: 34,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-12-08,BioRxiv,Researcher 34 et al.,2022,18,5
COVID-19 diagnostic study: 35,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2020-01-12,The Lancet,Researcher 35 et al.,2020,12,4
COVID-19 virology study: 36,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2021-03-15,Science,Researcher 36 et al.,2021,18,4
COVID-19 mental health study: 37,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-07-02,JAMA,Researcher 37 et al.,2020,24,5
COVID-19 epidemiology study: 38,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-09-10,Science,Researcher 38 et al.,2022,18,4
COVID-19 vaccine study: 39,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2021-03-11,PLoS One,Researcher 39 et al.,2021,18,4
COVID-19 virology study: 40,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-10-14,Journal of Medical Virology,Researcher 40 et al.,2020,18,4
COVID-19 epidemiology study: 41,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-03-22,MedRxiv,Researcher 41 et al.,2021,24,4
COVID-19 genetics study: 42,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2020-09-07,PLoS One,Researcher 42 et al.,2020,18,4
COVID-19 virology study: 43,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-04-06,The Lancet,Researcher 43 et al.,2022,18,4
COVID-19 genetics study: 44,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2022-05-02,Nature Medicine,Researcher 44 et al.,2022,12,4
COVID-19 diagnostic study: 45,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2020-06-03,Nature Medicine,Researcher 45 et al.,2020,28,4
COVID-19 epidemiology study: 46,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-08-02,BioRxiv,Researcher 46 et al.,2021,18,4
COVID-19 vaccine study: 47,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-09-12,JAMA,Researcher 47 et al.,2020,28,4
COVID-19 mental health study: 48,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-11-01,Science,Researcher 48 et al.,2022,18,5
COVID-19 economic study: 49,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-10-05,Nature Medicine,Researcher 49 et al.,2022,18,4
COVID-19 treatment study: 50,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-01-25,New England Journal of Medicine,Researcher 50 et al.,2020,18,4
COVID-19 clinical study: 51,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2022-08-25,BioRxiv,Researcher 51 et al.,2022,12,4
COVID-19 vaccine study: 52,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-12-21,New England Journal of Medicine,Researcher 52 et al.,2021,14,4
COVID-19 epidemiology study: 53,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-11-18,JAMA,Researcher 53 et al.,2021,12,4
COVID-19 economic study: 54,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2022-07-09,Cell,Researcher 54 et al.,2022,24,4
COVID-19 vaccine study: 55,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-06-26,MedRxiv,Researcher 55 et al.,2020,28,4
COVID-19 epidemiology study: 56,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2021-12-12,Journal of Medical Virology,Researcher 56 et al.,2021,12,4
COVID-19 public health study: 57,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-03-03,Science,Researcher 57 et al.,2021,28,5
COVID-19 public health study: 58,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-09-23,MedRxiv,Researcher 58 et al.,2022,18,5
COVID-19 genetics study: 59,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-10-27,BioRxiv,Researcher 59 et al.,2022,18,4
COVID-19 vaccine study: 60,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-06-04,The Lancet,Researcher 60 et al.,2020,18,4
COVID-19 public health study: 61,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-08-07,Nature,Researcher 61 et al.,2020,12,5
COVID-19 epidemiology study: 62,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-08-05,Nature,Researcher 62 et al.,2021,28,4
COVID-19 genetics study: 63,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2022-04-05,Nature,Researcher 63 et al.,2022,12,4
COVID-19 epidemiology study: 64,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2020-01-15,Nature Medicine,Researcher 64 et al.,2020,24,4
COVID-19 genetics study: 65,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-10-18,Cell,Researcher 65 et al.,2022,18,4
COVID-19 vaccine study: 66,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-11-15,Cell,Researcher 66 et al.,2022,12,4
COVID-19 economic study: 67,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-11-11,Science,Researcher 67 et al.,2022,28,4
COVID-19 mental health study: 68,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-01-06,Science,Researcher 68 et al.,2020,24,5
COVID-19 virology study: 69,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2020-08-02,Cell,Researcher 69 et al.,2020,18,4
COVID-19 economic study: 70,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2021-01-04,JAMA,Researcher 70 et al.,2021,12,4
COVID-19 diagnostic study: 71,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-02-05,Science,Researcher 71 et al.,2020,12,4
COVID-19 epidemiology study: 72,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2021-08-24,JAMA,Researcher 72 et al.,2021,12,4
COVID-19 diagnostic study: 73,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2022-03-11,BioRxiv,Researcher 73 et al.,2022,21,4
COVID-19 economic study: 74,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2020-04-26,PLoS One,Researcher 74 et al.,2020,14,4
COVID-19 genetics study: 75,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-06-11,New England Journal of Medicine,Researcher 75 et al.,2022,18,4
COVID-19 virology study: 76,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-10-19,Journal of Medical Virology,Researcher 76 et al.,2022,18,4
COVID-19 virology study: 77,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-06-27,BioRxiv,Researcher 77 et al.,2021,21,4
COVID-19 clinical study: 78,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-05-10,MedRxiv,Researcher 78 et al.,2020,24,4
COVID-19 virology study: 79,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-10-05,Science,Researcher 79 et al.,2020,14,4
COVID-19 mental health study: 80,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-12-05,Cell,Researcher 80 et al.,2021,12,5
COVID-19 virology study: 81,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-07-06,New England Journal of Medicine,Researcher 81 et al.,2022,18,4
COVID-19 economic study: 82,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-12-09,New England Journal of Medicine,Researcher 82 et al.,2021,18,4
COVID-19 clinical study: 83,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-11-15,BMJ,Researcher 83 et al.,2020,12,4
COVID-19 economic study: 84,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-04-17,MedRxiv,Researcher 84 et al.,2021,18,4
COVID-19 economic study: 85,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-06-04,BioRxiv,Researcher 85 et al.,2020,12,4
COVID-19 treatment study: 86,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2020-05-09,Cell,Researcher 86 et al.,2020,24,4
COVID-19 clinical study: 87,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-02-13,Journal of Medical Virology,Researcher 87 et al.,2020,18,4
COVID-19 economic study: 88,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-05-27,Cell,Researcher 88 et al.,2021,12,4
COVID-19 treatment study: 89,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-03-03,Science,Researcher 89 et al.,2022,18,4
COVID-19 treatment study: 90,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-02-13,The Lancet,Researcher 90 et al.,2021,12,4
COVID-19 clinical study: 91,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2022-10-17,PLoS One,Researcher 91 et al.,2022,14,4
COVID-19 diagnostic study: 92,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-12-21,JAMA,Researcher 92 et al.,2020,18,4
COVID-19 genetics study: 93,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-07-04,The Lancet,Researcher 93 et al.,2022,24,4
COVID-19 mental health study: 94,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2022-01-24,MedRxiv,Researcher 94 et al.,2022,14,5
COVID-19 genetics study: 95,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-03-13,PLoS One,Researcher 95 et al.,2020,12,4
COVID-19 virology study: 96,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2022-02-11,The Lancet,Researcher 96 et al.,2022,12,4
COVID-19 mental health study: 97,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-01-03,JAMA,Researcher 97 et al.,2022,24,5
COVID-19 virology study: 98,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-08-22,Nature Medicine,Researcher 98 et al.,2021,24,4
COVID-19 economic study: 99,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-08-26,Cell,Researcher 99 et al.,2020,21,4
COVID-19 epidemiology study: 100,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-05-07,The Lancet,Researcher 100 et al.,2022,28,4
COVID-19 clinical study: 101,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-08-05,Science,Researcher 101 et al.,2020,18,4
COVID-19 mental health study: 102,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2020-05-04,Journal of Medical Virology,Researcher 102 et al.,2020,18,5
COVID-19 mental health study: 103,This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. This study investigates COVID-19 genetics aspects. ,2021-03-27,BioRxiv,Researcher 103 et al.,2021,24,5
COVID-19 economic study: 104,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-02-11,Nature,Researcher 104 et al.,2020,18,4
COVID-19 diagnostic study: 105,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2021-12-22,Science,Researcher 105 et al.,2021,24,4
COVID-19 treatment study: 106,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2020-06-11,JAMA,Researcher 106 et al.,2020,18,4
COVID-19 economic study: 107,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2022-12-05,Journal of Medical Virology,Researcher 107 et al.,2022,28,4
COVID-19 public health study: 108,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-08-20,Science,Researcher 108 et al.,2020,28,5
COVID-19 treatment study: 109,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2020-10-12,New England Journal of Medicine,Researcher 109 et al.,2020,18,4
COVID-19 clinical study: 110,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-01-19,Cell,Researcher 110 et al.,2021,14,4
COVID-19 treatment study: 111,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-10-16,Journal of Medical Virology,Researcher 111 et al.,2022,18,4
COVID-19 diagnostic study: 112,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2021-07-26,New England Journal of Medicine,Researcher 112 et al.,2021,24,4
COVID-19 treatment study: 113,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2021-11-01,Science,Researcher 113 et al.,2021,12,4
COVID-19 clinical study: 114,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-08-23,PLoS One,Researcher 114 et al.,2021,21,4
COVID-19 diagnostic study: 115,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2022-11-11,BMJ,Researcher 115 et al.,2022,18,4
COVID-19 genetics study: 116,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2020-03-18,PLoS One,Researcher 116 et al.,2020,18,4
COVID-19 mental health study: 117,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2020-03-21,Cell,Researcher 117 et al.,2020,14,5
COVID-19 mental health study: 118,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-11-18,Journal of Medical Virology,Researcher 118 et al.,2021,24,5
COVID-19 virology study: 119,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2022-04-07,Journal of Medical Virology,Researcher 119 et al.,2022,21,4
COVID-19 genetics study: 120,This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. This study investigates COVID-19 virology aspects. ,2020-03-16,Cell,Researcher 120 et al.,2020,18,4
COVID-19 genetics study: 121,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2022-09-08,New England Journal of Medicine,Researcher 121 et al.,2022,18,4
COVID-19 treatment study: 122,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-01-17,BMJ,Researcher 122 et al.,2020,18,4
COVID-19 mental health study: 123,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2020-01-08,Science,Researcher 123 et al.,2020,18,5
COVID-19 clinical study: 124,This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. This study investigates COVID-19 clinical aspects. ,2022-06-03,BioRxiv,Researcher 124 et al.,2022,24,4
COVID-19 vaccine study: 125,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-05-13,JAMA,Researcher 125 et al.,2022,24,4
COVID-19 vaccine study: 126,This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. This study investigates COVID-19 epidemiology aspects. ,2022-07-16,PLoS One,Researcher 126 et al.,2022,18,4
COVID-19 diagnostic study: 127,This study investigates COVID-19 treatment aspects. This study investigates COVID-19 treatment aspects. ,2021-06-22,PLoS One,Researcher 127 et al.,2021,12,4
COVID-19 mental health study: 128,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2022-03-22,MedRxiv,Researcher 128 et al.,2022,24,5
COVID-19 mental health study: 129,This study investigates COVID-19 economic aspects. This study investigates COVID-19 economic aspects. ,2021-10-21,Nature,Researcher 129 et al.,2021,12,5
COVID-19 vaccine study: 130,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2021-09-24,MedRxiv,Researcher 130 et al.,2021,24,4
COVID-19 mental health study: 131,This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. This study investigates COVID-19 vaccine aspects. ,2022-08-25,BMJ,Researcher 131 et al.,2022,18,5
COVID-19 treatment study: 132,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2021-03-19,JAMA,Researcher 132 et al.,2021,24,4
COVID-19 public health study: 133,This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. This study investigates COVID-19 public health aspects. ,2021-08-26,PLoS One,Researcher 133 et al.,2021,21,5
COVID-19 epidemiology study: 134,This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. This study investigates COVID-19 diagnostic aspects. ,2020-08-07,JAMA,Researcher 134 et al.,2020,24,4
COVID-19 genetics study: 135,This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. This study investigates COVID-19 mental health aspects. ,2021-07-03,BioRxiv,Researcher 135 et al.,2021,21,4
